sequence,label,url,status,content_type,bytes,raw_path
1,industries,https://ai-russia.ru/api/industries,200,application/json; charset=utf-8,1445,raw_api/00001_industries.json
2,matrix_agriculture,https://ai-russia.ru/api/industries/agriculture/matrix,200,application/json; charset=utf-8,13985,raw_api/00002_matrix_agriculture.json
3,matrix_construction,https://ai-russia.ru/api/industries/construction/matrix,200,application/json; charset=utf-8,14005,raw_api/00003_matrix_construction.json
4,matrix_education,https://ai-russia.ru/api/industries/education/matrix,200,application/json; charset=utf-8,13984,raw_api/00004_matrix_education.json
5,matrix_healthcare,https://ai-russia.ru/api/industries/healthcare/matrix,200,application/json; charset=utf-8,13979,raw_api/00005_matrix_healthcare.json
6,matrix_industrial,https://ai-russia.ru/api/industries/industrial/matrix,200,application/json; charset=utf-8,13977,raw_api/00006_matrix_industrial.json
7,matrix_it-telecom,https://ai-russia.ru/api/industries/it-telecom/matrix,200,application/json; charset=utf-8,13966,raw_api/00007_matrix_it-telecom.json
8,matrix_oil-energy,https://ai-russia.ru/api/industries/oil-energy/matrix,200,application/json; charset=utf-8,13997,raw_api/00008_matrix_oil-energy.json
9,matrix_retail,https://ai-russia.ru/api/industries/retail/matrix,200,application/json; charset=utf-8,13965,raw_api/00009_matrix_retail.json
10,matrix_finance,https://ai-russia.ru/api/industries/finance/matrix,200,application/json; charset=utf-8,13953,raw_api/00010_matrix_finance.json
11,matrix_transport,https://ai-russia.ru/api/industries/transport/matrix,200,application/json; charset=utf-8,13988,raw_api/00011_matrix_transport.json
12,scenarios_agriculture_first,https://ai-russia.ru/api/scenarios?industry=agriculture,200,application/json; charset=utf-8,6737,raw_api/00012_scenarios_agriculture_first.json
13,probe_size_limit,https://ai-russia.ru/api/scenarios?industry=agriculture&limit=200,200,application/json; charset=utf-8,6737,raw_api/00013_probe_size_limit.json
14,probe_size_pageSize,https://ai-russia.ru/api/scenarios?industry=agriculture&pageSize=200,200,application/json; charset=utf-8,6737,raw_api/00014_probe_size_pageSize.json
15,probe_size_perPage,https://ai-russia.ru/api/scenarios?industry=agriculture&perPage=200,400,application/json; charset=utf-8,70,raw_api/00015_probe_size_perPage.json
16,probe_size_take,https://ai-russia.ru/api/scenarios?industry=agriculture&take=200,200,application/json; charset=utf-8,6737,raw_api/00016_probe_size_take.json
17,probe_pagination_limit_offset_0,https://ai-russia.ru/api/scenarios?industry=agriculture&limit=20&offset=20,200,application/json; charset=utf-8,6737,raw_api/00017_probe_pagination_limit_offset_0.json
18,probe_pagination_limit_skip_0,https://ai-russia.ru/api/scenarios?industry=agriculture&limit=20&skip=20,200,application/json; charset=utf-8,6737,raw_api/00018_probe_pagination_limit_skip_0.json
19,probe_pagination_take_skip_0,https://ai-russia.ru/api/scenarios?industry=agriculture&take=20&skip=20,200,application/json; charset=utf-8,6737,raw_api/00019_probe_pagination_take_skip_0.json
20,probe_pagination_page_limit_1,https://ai-russia.ru/api/scenarios?industry=agriculture&page=2&limit=20,200,application/json; charset=utf-8,6450,raw_api/00020_probe_pagination_page_limit_1.json
21,scenarios_agriculture_first_paginated,https://ai-russia.ru/api/scenarios?industry=agriculture&page=1&limit=20,200,application/json; charset=utf-8,6737,raw_api/00021_scenarios_agriculture_first_paginated.json
22,scenarios_agriculture_page_0002,https://ai-russia.ru/api/scenarios?industry=agriculture&page=2&limit=20,200,application/json; charset=utf-8,6450,raw_api/00022_scenarios_agriculture_page_0002.json
23,scenarios_agriculture_page_0003,https://ai-russia.ru/api/scenarios?industry=agriculture&page=3&limit=20,200,application/json; charset=utf-8,6609,raw_api/00023_scenarios_agriculture_page_0003.json
24,scenarios_agriculture_page_0004,https://ai-russia.ru/api/scenarios?industry=agriculture&page=4&limit=20,200,application/json; charset=utf-8,6552,raw_api/00024_scenarios_agriculture_page_0004.json
25,scenarios_agriculture_page_0005,https://ai-russia.ru/api/scenarios?industry=agriculture&page=5&limit=20,200,application/json; charset=utf-8,6216,raw_api/00025_scenarios_agriculture_page_0005.json
26,scenarios_agriculture_page_0006,https://ai-russia.ru/api/scenarios?industry=agriculture&page=6&limit=20,200,application/json; charset=utf-8,6584,raw_api/00026_scenarios_agriculture_page_0006.json
27,scenarios_agriculture_page_0007,https://ai-russia.ru/api/scenarios?industry=agriculture&page=7&limit=20,200,application/json; charset=utf-8,6353,raw_api/00027_scenarios_agriculture_page_0007.json
28,scenarios_agriculture_page_0008,https://ai-russia.ru/api/scenarios?industry=agriculture&page=8&limit=20,200,application/json; charset=utf-8,6431,raw_api/00028_scenarios_agriculture_page_0008.json
29,scenarios_agriculture_page_0009,https://ai-russia.ru/api/scenarios?industry=agriculture&page=9&limit=20,200,application/json; charset=utf-8,6385,raw_api/00029_scenarios_agriculture_page_0009.json
30,scenarios_agriculture_page_0010,https://ai-russia.ru/api/scenarios?industry=agriculture&page=10&limit=20,200,application/json; charset=utf-8,6286,raw_api/00030_scenarios_agriculture_page_0010.json
31,scenarios_agriculture_page_0011,https://ai-russia.ru/api/scenarios?industry=agriculture&page=11&limit=20,200,application/json; charset=utf-8,6487,raw_api/00031_scenarios_agriculture_page_0011.json
32,scenarios_agriculture_page_0012,https://ai-russia.ru/api/scenarios?industry=agriculture&page=12&limit=20,200,application/json; charset=utf-8,6260,raw_api/00032_scenarios_agriculture_page_0012.json
33,scenarios_agriculture_page_0013,https://ai-russia.ru/api/scenarios?industry=agriculture&page=13&limit=20,200,application/json; charset=utf-8,6454,raw_api/00033_scenarios_agriculture_page_0013.json
34,scenarios_agriculture_page_0014,https://ai-russia.ru/api/scenarios?industry=agriculture&page=14&limit=20,200,application/json; charset=utf-8,6632,raw_api/00034_scenarios_agriculture_page_0014.json
35,scenarios_agriculture_page_0015,https://ai-russia.ru/api/scenarios?industry=agriculture&page=15&limit=20,200,application/json; charset=utf-8,6256,raw_api/00035_scenarios_agriculture_page_0015.json
36,scenarios_agriculture_page_0016,https://ai-russia.ru/api/scenarios?industry=agriculture&page=16&limit=20,200,application/json; charset=utf-8,6595,raw_api/00036_scenarios_agriculture_page_0016.json
37,scenarios_agriculture_page_0017,https://ai-russia.ru/api/scenarios?industry=agriculture&page=17&limit=20,200,application/json; charset=utf-8,6368,raw_api/00037_scenarios_agriculture_page_0017.json
38,scenarios_agriculture_page_0018,https://ai-russia.ru/api/scenarios?industry=agriculture&page=18&limit=20,200,application/json; charset=utf-8,6504,raw_api/00038_scenarios_agriculture_page_0018.json
39,scenarios_agriculture_page_0019,https://ai-russia.ru/api/scenarios?industry=agriculture&page=19&limit=20,200,application/json; charset=utf-8,6440,raw_api/00039_scenarios_agriculture_page_0019.json
40,scenarios_agriculture_page_0020,https://ai-russia.ru/api/scenarios?industry=agriculture&page=20&limit=20,200,application/json; charset=utf-8,6268,raw_api/00040_scenarios_agriculture_page_0020.json
41,scenarios_agriculture_page_0021,https://ai-russia.ru/api/scenarios?industry=agriculture&page=21&limit=20,200,application/json; charset=utf-8,6662,raw_api/00041_scenarios_agriculture_page_0021.json
42,scenarios_agriculture_page_0022,https://ai-russia.ru/api/scenarios?industry=agriculture&page=22&limit=20,200,application/json; charset=utf-8,6342,raw_api/00042_scenarios_agriculture_page_0022.json
43,scenarios_agriculture_page_0023,https://ai-russia.ru/api/scenarios?industry=agriculture&page=23&limit=20,200,application/json; charset=utf-8,6665,raw_api/00043_scenarios_agriculture_page_0023.json
44,scenarios_agriculture_page_0024,https://ai-russia.ru/api/scenarios?industry=agriculture&page=24&limit=20,200,application/json; charset=utf-8,6269,raw_api/00044_scenarios_agriculture_page_0024.json
45,scenarios_agriculture_page_0025,https://ai-russia.ru/api/scenarios?industry=agriculture&page=25&limit=20,200,application/json; charset=utf-8,6361,raw_api/00045_scenarios_agriculture_page_0025.json
46,scenarios_construction_first_paginated,https://ai-russia.ru/api/scenarios?industry=construction&page=1&limit=20,200,application/json; charset=utf-8,6880,raw_api/00046_scenarios_construction_first_paginated.json
47,scenarios_construction_page_0002,https://ai-russia.ru/api/scenarios?industry=construction&page=2&limit=20,200,application/json; charset=utf-8,6598,raw_api/00047_scenarios_construction_page_0002.json
48,scenarios_construction_page_0003,https://ai-russia.ru/api/scenarios?industry=construction&page=3&limit=20,200,application/json; charset=utf-8,6627,raw_api/00048_scenarios_construction_page_0003.json
49,scenarios_construction_page_0004,https://ai-russia.ru/api/scenarios?industry=construction&page=4&limit=20,200,application/json; charset=utf-8,6733,raw_api/00049_scenarios_construction_page_0004.json
50,scenarios_construction_page_0005,https://ai-russia.ru/api/scenarios?industry=construction&page=5&limit=20,200,application/json; charset=utf-8,6817,raw_api/00050_scenarios_construction_page_0005.json
51,scenarios_construction_page_0006,https://ai-russia.ru/api/scenarios?industry=construction&page=6&limit=20,200,application/json; charset=utf-8,6687,raw_api/00051_scenarios_construction_page_0006.json
52,scenarios_construction_page_0007,https://ai-russia.ru/api/scenarios?industry=construction&page=7&limit=20,200,application/json; charset=utf-8,6413,raw_api/00052_scenarios_construction_page_0007.json
