industry,scenario_id,scenario_title,business_impact,implementation_speed,technologies,case_id,case_title,company
finance,cmrxdz19902lbini5nvo56biv,Персонализированные продажи на основе ИИ-анализа поведенческих паттернов,strong,medium,ClassicML; NLP; AIAgents,cmrto0wux0003inzvyxpfdxci,CRM AI Sales Engine,АО «АЛЬФА-БАНК»
finance,cmryiwkkg02m3injjt1mhwohe,ИИ-система поддержки решений по сложным продажам,strong,medium,ClassicML; LLM; NLP,cms3n0mcs000cmp0nrp7865x5,Умный прайсинг и догоняющие коммуникации в ММБ,АО «АЛЬФА-БАНК»
finance,cmryiwkkg02mbinjjmpvvm1pn,Интеллектуальный выбор стратегии работы с клиентом,strong,medium,ClassicML; NLP,cms3l67x90008mp0n7qacmony,Умный прайсинг в пассивах,АО «АЛЬФА-БАНК»
finance,cmryiwkki02ojinjjzc1lwxjn,Интеллектуальная оптимизация процессов клиринга и расчетов с применением ИИ,strong,slow,ClassicML; RPA,cms5zztz00005o90n53q8onrd,Собственная система маршрутизации доставки,АО «АЛЬФА-БАНК»
finance,cmrxdz19g02t5ini5zevbcezn,Прогнозная аналитика ИТ-ресурсов на базе ИИ,strong,slow,ClassicML; NLP,cmrto0wv50007inzv6hufh21c,AlfaPredict — аналитическая платформа,АО «АЛЬФА-БАНК»
finance,cmryiwkkm02t3injjtbzsuqso,ИИ-прогнозирование и анализ эффективности ИТ-инвестиций и проектов,strong,slow,ClassicML; NLP,cms3m81t2000amp0n5lgyol81,Онлайн-модели PD на нейросетевых архитектурах,АО «АЛЬФА-БАНК»
finance,cmryiwkkn02tfinjj43qulxze,ИИ для персонализации ИТ-сервисов и улучшения пользовательского опыта,strong,slow,ClassicML; LLM,cms606n1j0007o90nfk8vpbaq,Ассистенты для сотрудников и клиентов на базе генИИ,АО «АЛЬФА-БАНК»
finance,cmryiwkkn02u1injj9k53cm5m,ИИ-мониторинг и контроль соблюдения ИТ-политик и стандартов,strong,medium,ClassicML; NLP; AIAgents,cmrto0wva000binzvrlea7lj1,QMS,АО «АЛЬФА-БАНК»
finance,cmryiwkkt030finjj1tc3z987,Предиктивный ИИ-анализ и предотвращение финансовых преступлений и мошенничества,strong,slow,ClassicML; NLP,cms60lrb50009o90nchh7vhq9,Вторая линия защиты по детекции «дропов»,АО «АЛЬФА-БАНК»
it-telecom,cmryiwkmf04wninjjhm8vz3qv,ИИ‑подсказки адаптивных сценариев продаж в реальном времени на основе профиля клиента,medium,medium,LLM; NLP; AIAgents,cms3o8z2q000emp0nh6aa6gx3,SpeechSense,"ООО ""ЯНДЕКС"""
it-telecom,cmryiwkmm054hinjjnofxvbpo,Интеллектуальная автоматизация управления ИТ‑инфраструктурой и активами на базе AI‑RPA,strong,slow,ClassicML; LLM; RPA,cms3ogmt3000gmp0ndcl5vq6b,SourceCraft,"ООО ""ЯНДЕКС"""
it-telecom,cmryiwkmm054pinjjn8mg7xq3,Интеллектуальная автоматизация управления изменениями в ИТ-системах с использованием ИИ-оркестрации,medium,slow,ClassicML; LLM; RPA,cms3om663000imp0nx69czffp,SourceCraft Код Ассистент,"ООО ""ЯНДЕКС"""
it-telecom,cmryiwkmo056xinjjk5ftk8mv,ИИ‑платформа для генерации и сопровождения low-code/no-code приложений,medium,slow,ClassicML; LLM; AIAgents,cms3ora1l000kmp0nmkrcinxk,Vibecraft,"ООО ""ЯНДЕКС"""
