case_id,title,company,scenario_ids,industries,functions,tasks,detail_http_status,detail_has_metric,detail_has_actual_result_language,detail_potential_marker_count,detail_text_excerpt
cmrto0wv50007inzv6hufh21c,AlfaPredict — аналитическая платформа,АО «АЛЬФА-БАНК»,cmrxdz19g02t5ini5zevbcezn,finance,,,200,False,False,1,"cmrto0wv50007inzv6hufh21c AlfaPredict — аналитическая платформа АО «АЛЬФА-БАНК» finance Финансы it-digitalization Информационные технологии и цифровизация analytics-forecasting Аналитика и прогнозирование Сложность поиска данных из-за многообразия баз и таблиц со скудным описанием, а также длительность выгрузки и визуализации данных, недоступной руководителям без прав доступа и навыков SQL/Python. Низкий уровень аналитики и поиска инсайтов из-за неиспользования методов классического ML и части важных данных; решение обеспечивают отдельные модули для аналитики и поиска инсайтов. AlfaPredict автоматизирует работу с данными и аналитику, позволяя задавать вопросы на естественном языке, автоматически генерировать SQL-запросы, проводить факторный и предиктивный анализ с помощью встроенных машинн"
cmrto0wux0003inzvyxpfdxci,CRM AI Sales Engine,АО «АЛЬФА-БАНК»,cmrxdz19902lbini5nvo56biv,finance,,,200,True,True,0,"cmrto0wux0003inzvyxpfdxci CRM AI Sales Engine АО «АЛЬФА-БАНК» finance Финансы sales-business-dev Продажи и развитие бизнеса personalization-cx Персонализация и клиентский опыт Сегментные кампании не обеспечивают персонализацию из-за ограниченности ресурсов CRM и маркетинга. Предложения не учитывают транзакционную активность, стадию развития бизнеса и историю взаимодействий. Часть клиентов перегружается рекламой и перестает реагировать, задержки в ответе на триггерные события приводят к потере потребности. Альфа Банк внедрил платформу CRM AI Sales Engine для управления взаимодействием с бизнес-клиентами. Система ежедневно определяет актуальный продукт, оптимальный момент, канал и формат контакта, а также генерирует персонализированный контент. Алгоритм рассчитывает индивидуальные sales-аргу"
cmrto0wva000binzvrlea7lj1,QMS,АО «АЛЬФА-БАНК»,cmryiwkkn02u1injj9k53cm5m,finance,,,200,False,False,0,"cmrto0wva000binzvrlea7lj1 QMS АО «АЛЬФА-БАНК» finance Финансы it-digitalization Информационные технологии и цифровизация monitoring-control Мониторинг и контроль Ограниченные возможности контроля качества обслуживания в колл-центре QMS (Quality Management System) — интегрированная платформа для автоматической оценки качества диалогов операторов банковского колл-центра. AI-модели суммируют разговоры, выявляют ошибки и предоставляют пояснения, а продвинутые методы генеративного ИИ определяют ключевые закономерности и формируют инсайты. Система обрабатывает коммуникации в онлайн-формате, оценивает диалоги, дает рекомендации операторам и предлагает обучающие курсы. Сокращение расходов Трудоёмкий процесс контроля диалогов операторов. Медленный поиск инсайтов в диалогах для улучшения качества об"
cms606n1j0007o90nfk8vpbaq,Ассистенты для сотрудников и клиентов на базе генИИ,АО «АЛЬФА-БАНК»,cmryiwkkn02tfinjj43qulxze,finance,,,200,False,False,0,"cms606n1j0007o90nfk8vpbaq Ассистенты для сотрудников и клиентов на базе генИИ АО «АЛЬФА-БАНК» finance Финансы it-digitalization Информационные технологии и цифровизация personalization-cx Персонализация и клиентский опыт Предоставлять WOW сервис для клиентов за счет быстрого предоставления персонализированных ответов. Ускорить и улучшить работу операторов за счет создания умных помощников. Разработаны технологические решения, которые обеспечивают быструю разработку и внедрение асистентов и агентов. Менее чем за год с нуля разработана универсальная РАГ платформа, которая обеспечивает поиск по нескольким источникам данных, в том числе есть возможность мультимодального поиска. Созданы ""рельсы"" для быстрой разработки агентов, которые автономно обрабатывают сообщения клиентов или помогают сотру"
cms60lrb50009o90nchh7vhq9,Вторая линия защиты по детекции «дропов»,АО «АЛЬФА-БАНК»,cmryiwkkt030finjj1tc3z987,finance,,,200,False,False,0,"cms60lrb50009o90nchh7vhq9 Вторая линия защиты по детекции «дропов» АО «АЛЬФА-БАНК» finance Финансы legal-compliance Правовое обеспечение и комплаенс risk-security Управление рисками и безопасностью Добросовестные клиенты ошибочно попадали в «красную зону» и подвергались автоблокировке из‑за схожести их профиля деятельности с «дропами» (посредниками в нелегальных финансовых схемах) по формальным признакам. Это вызывало недовольство клиентов и увеличивало нагрузку на службу поддержки. ML-модель Обеления «AutoTrain», добавленная как новый этап в систему детекции и блокировки «дропов». Модель оценивает близость поведения клиента к добросовестному (а не к мошеннику) и выявляет специфичные паттерны для постанализа. Клиенты из «красной» зоны, с высокой вероятностью признанные «чистыми», направляю"
cms3m81t2000amp0n5lgyol81,Онлайн-модели PD на нейросетевых архитектурах,АО «АЛЬФА-БАНК»,cmryiwkkm02t3injjtbzsuqso,finance,,,200,True,False,0,"cms3m81t2000amp0n5lgyol81 Онлайн-модели PD на нейросетевых архитектурах АО «АЛЬФА-БАНК» finance Финансы it-digitalization Информационные технологии и цифровизация analytics-forecasting Аналитика и прогнозирование Скорость внедрения сложных архитектур в кредитный процесс ограничена, а эффективность кредитования и управления рисками снижена, поскольку онлайн-модели PD используют ограниченный набор признаков и требуют длительной проверки корректности результатов. Новое поколение онлайн-модели PD на основе обновлённых нейросетевых архитектур. Система рассчитывает сотни признаков в момент скоринга заявки на основе актуальных данных, учитывая нелинейные сложные зависимости. Внедрена продвинутая методология отбора расширенного набора признаков. Рост доходов Онлайн-модели PD использовали ограничен"
cms5zztz00005o90n53q8onrd,Собственная система маршрутизации доставки,АО «АЛЬФА-БАНК»,cmryiwkki02ojinjjzc1lwxjn,finance,,,200,True,True,0,"cms5zztz00005o90n53q8onrd Собственная система маршрутизации доставки АО «АЛЬФА-БАНК» finance Финансы operations-production Операции и производство resource-optimization Оптимизация и управление ресурсами Маршруты специалистов доставки строились из логистических центров без учёта места проживания. Это приводило к лишнему времени в дороге, неэффективной загрузке специалистов и снижению удовлетворённости сотрудников. Использовалось внешнее решение Яндекса по лицензии. Собственная внутренняя система маршрутизации доставки. По итогам сравнения на 1000+ населённых пунктов показала лучшие результаты, чем решение Яндекса. Реализован учёт домашнего адреса специалиста и оптимизация выдачи заказов в домашнем радиусе («Маршрутизация из дома»). Решение масштабировано на большую часть потока заявок. Кей"
cms3l67x90008mp0n7qacmony,Умный прайсинг в пассивах,АО «АЛЬФА-БАНК»,cmryiwkkg02mbinjjmpvvm1pn,finance,,,200,True,False,3,"cms3l67x90008mp0n7qacmony Умный прайсинг в пассивах АО «АЛЬФА-БАНК» finance Финансы sales-business-dev Продажи и развитие бизнеса decision-support Решения для поддержки принятия решений (Decision Support) Управление доходностью и объемом депозитного портфеля на уровне сегмента, а не клиента, не позволяет учитывать индивидуальную ценовую чувствительность, из-за чего банк недозарабатывает на привлечении и не может управлять маржинальностью на уровне отдельной сделки. Персонализированный прайсинг по вкладам и накопительным счетам на базе ML. Система объединяет поведенческую аналитику, оценку ценовой чувствительности клиента и unit-экономику в единый контур. По каждому клиенту прогнозируются параметры сделки (объём, срок, take rate в зависимости от ставки), оценивается доход банка от потенциал"
cms3n0mcs000cmp0nrp7865x5,Умный прайсинг и догоняющие коммуникации в ММБ,АО «АЛЬФА-БАНК»,cmryiwkkg02m3injjt1mhwohe,finance,,,200,False,False,1,"cms3n0mcs000cmp0nrp7865x5 Умный прайсинг и догоняющие коммуникации в ММБ АО «АЛЬФА-БАНК» finance Финансы sales-business-dev Продажи и развитие бизнеса decision-support Решения для поддержки принятия решений (Decision Support) Индивидуальные потребности клиентов ММБ не учитывались при ценообразовании и формировании предложений, что снижало конверсию в покупку и маржинальность банка. Ставка, лимит по кредитам и рекламные предложения определялись исключительно на основе общих бизнес-правил и риск-профиля, без персонализации под конкретного клиента. Механизм подбора оптимальной цены кредита на базе ML для продукта Бизнес-кредит. Алгоритм перебирает по каждой заявке тысячи комбинаций суммы, срока и ставки и ищет параметры, при которых клиент с высокой вероятностью возьмёт кредит, а маржинальнос"
cms3ogmt3000gmp0ndcl5vq6b,SourceCraft,"ООО ""ЯНДЕКС""",cmryiwkmm054hinjjnofxvbpo,it-telecom,,,200,True,False,0,"cms3ogmt3000gmp0ndcl5vq6b SourceCraft ООО ""ЯНДЕКС"" it-telecom IT и Телеком it-digitalization Информационные технологии и цифровизация process-automation Автоматизация процессов (RPA / IPA) Неэффективный и несогласованный процесс разработки ПО внутри компании DevSecOps платформа для полного цикла разработки • Сокращение расходов. • 60–120 млн руб. в год на 100 разработчиков. • Время от задачи до релиза -30%. Неэффективный и несогласованный процесс разработки ПО внутри компании Обеспечение эффективного и согласованного процесса разработки ПО за счёт единой DevSecOps платформы полного цикла Cloud 0 месяцев, ПО находится в Облаке и доступно любым зарегистрированным пользователям. NDA Тираж Статус реализации: Тираж • Хранение и версионирование кода • Автоматизация CI/CD pipelines • Интеграция и"
