scenario_id,title,title_en,business_impact,implementation_speed,technologies,case_count,exposed_case_count,hidden_or_unexposed_case_count,case_ids,industries,functions,tasks,source_urls
cmryiwkia002jinjjdnz8kwyq,AI-DSS для выбора и приоритизации новых рынков сбыта сельхозпродукции,,medium,medium,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=2&limit=20
cmryiwkic005binjj8beu7r7r,AI-DSS для выбора оптимальных схем кредитования сезонных сельхозработ,,medium,slow,ClassicML; LLM; AIAgents,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=4&limit=20
cmryiwkiv00rjinjjryt82u1p,AI-DSS для приоритизации R&D проектов в сельском хозяйстве,,medium,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=24&limit=20
cmryiwkij00d7injjqej0e1zn,AI-алгоритм оптимального размещения культур и планирования севооборота,,strong,slow,ClassicML; AIAgents,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=11&limit=20
cmryiwkic004vinjjv4u4iijx,AI-алгоритм оптимального хеджирования ценовых рисков на сельхозпродукцию,,strong,slow,ClassicML; AIAgents,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=4&limit=20
cmryiwkih00afinjjc9seg5e3,AI-алгоритм оптимизации графика работы менеджеров по продажам в агробизнесе,,medium,medium,ClassicML; AIAgents,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=9&limit=20
cmryiwkif008ninjj3v314srj,AI-модель анализа рисков негативных отзывов о качестве агропродукции,,medium,medium,ClassicML; LLM; NLP,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=7&limit=20
cmryiwkid005vinjjsukza2m2,AI-модель кредитного скоринга заемщиков в агросекторе,,strong,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=5&limit=20
cmryiwkir00mjinjjangjco8f,AI-модель оценки рисков качества поставляемых семян и удобрений,,strong,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=20&limit=20
cmryiwkib003xinjjhfmcm0ny,AI-модель прогнозирования валютных курсов для экспортеров сельхозпродукции,,medium,medium,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=3&limit=20
cmryiwkik00e7injjghtfm7y2,AI-модель прогнозирования и анализа рисков неблагоприятных погодных условий,,strong,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=12&limit=20
cmryiwkig009binjj69m7pgq5,AI-платформа геймификации и персонализации покупки сельхозпродукции,,medium,medium,ClassicML; LLM; AIAgents,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=8&limit=20
cmryiwkii00c3injjtulx0z33,AI-платформа динамических аукционов и ценообразования для сельхозпродукции,,medium,medium,ClassicML; LLM; AIAgents,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=10&limit=20
cmryiwkid006finjjd3u4nx2u,AI-платформа для интеллектуального проектирования блокчейн-решений финансирования АПК,,medium,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=5&limit=20
cmryiwkie007tinjjpgi5hsor,AI-платформа для мониторинга и динамического анализа конкурентных цен на сельхозпродукцию,,medium,medium,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=7&limit=20
cmryiwkig0097injjrozsb0gt,AI-платформа для создания интерактивных виртуальных туров по фермерским хозяйствам,,medium,medium,ClassicML; LLM; CV,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=8&limit=20
cmryiwkil00g5injjot9yejej,AI-платформа компьютерного зрения для контроля соблюдения техники безопасности на рабочих местах,,medium,medium,ClassicML; CV,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=14&limit=20
cmryiwkiv00r9injj5ubi5l26,AI-платформа контроля качества проведения полевых агроопытов,,medium,slow,ClassicML; LLM; CV,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=24&limit=20
cmryiwkia0029injjxrc2izio,AI-платформа мониторинга и контроля реализации программы цифровизации сельхозпредприятий,,medium,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=2&limit=20
cmryiwkis00ohinjj8ezxdnx5,AI-платформа мониторинга и контроля соответствия сельхоздеятельности экологическим нормам,,strong,slow,ClassicML; LLM; CV,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=22&limit=20
cmryiwkia001tinjjdj5alaz9,AI-платформа персонализированного подбора оптимальной бизнес-модели фермы,,medium,medium,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture
cmryiwkiq00lxinjjt1vdfwj6,AI-платформа поддержки решений для выбора и оценки стратегических поставщиков,,medium,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=19&limit=20
cmryiwkiu00qpinjj1ot1mzbz,AI-система адаптивного R&D планирования сельхозпродукции под запросы рынка,,medium,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=24&limit=20
cmryiwkiq00l5injjyx5xwna9,AI-система адаптивного планирования поставок под потребности каждой фермы,,strong,slow,ClassicML; AIAgents,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=19&limit=20
cmryiwkig00a1injjyl1wr1jq,AI-система адаптивного ценообразования для разных категорий агроклиентов,,strong,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=9&limit=20
cmryiwkiv00rdinjjewkpvy89,AI-система мониторинга и анализа внедрения агроинноваций в производстве,,medium,medium,ClassicML; LLM; AIAgents,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=24&limit=20
cmryiwkia002dinjjrdl8l43f,AI-система мониторинга и анализа прогресса диверсификации агробизнеса,,medium,medium,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=2&limit=20
cmryiwkis00olinjjbt228p1c,AI-система мониторинга и контроля исполнения предписаний контролирующих органов,,medium,medium,ClassicML; LLM; RPA,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=22&limit=20
cmryiwkil00g9injjx9zy6jxh,AI-система мониторинга и прогнозирования профессионального выгорания сотрудников агросектора,,medium,medium,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=14&limit=20
cmryiwkij00dhinjjlnpkfmr4,AI-система мониторинга соблюдения агротехнологических регламентов,,medium,slow,ClassicML; LLM; CV,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=12&limit=20
cmryiwkic0055injj46u2pfim,AI-система мониторинга эффективности использования государственных субсидий в АПК,,medium,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=4&limit=20
cmryiwkie007jinjjyxs8fy0h,AI-система оптимального размещения рекламы сельхозпродукции в медиа-каналах,,medium,medium,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=6&limit=20
cmryiwkih00abinjjww00zfys,AI-система оптимального распределения товарных запасов по точкам продаж,,strong,slow,ClassicML; AIAgents,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=9&limit=20
cmryiwkik00ebinjj02pv44yp,AI-система оценки и прогнозирования рисков загрязнения сельхозпродукции пестицидами,,strong,slow,ClassicML; AIAgents,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=12&limit=20
cmryiwkiu00qtinjj9jp217vr,AI-система персонализированной оценки готовности хозяйств к внедрению агроинноваций,,medium,medium,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=24&limit=20
cmryiwkiv00rninjj501pa1lx,AI-система поддержки решений по выбору и управлению инновационными партнёрствами в агробизнесе,,medium,medium,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=24&limit=20
cmryiwkid005finjjnrh4qb8v,AI-система поддержки решений по страхованию урожая и сельхозтехники,,medium,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=4&limit=20
cmryiwkib003rinjjtt2mykzv,AI-система стратегического планирования развития точного земледелия,,medium,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=3&limit=20
cmryiwkik00elinjj1ppyqb03,AI-система управления и рекомендаций по знаниям в растениеводстве,,medium,medium,LLM; NLP; AIAgents,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=13&limit=20
cmryiwkiv00s3injjze9tfzwh,AI‑модель анализа биобезопасности и рисков внедрения новых агротехнологий,,strong,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=25&limit=20
cmryiwkiq00lpinjjikq0dgdk,AI‑платформа контроля качества и обнаружения подделок удобрений и пестицидов,,medium,medium,ClassicML; LLM; CV,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=19&limit=20
cmryiwkih00alinjjcp12mk78,AI‑платформа мониторинга и анализа качества взаимодействия с клиентами в АПК,,medium,medium,ClassicML; LLM; NLP,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=9&limit=20
cmryiwkic004linjjwzstpd5f,AI‑система персонализированного управления страховыми рисками в АПК,,strong,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=4&limit=20
cmryiwkii00bjinjjwyysq8xp,AI‑система прогноза и оценки рисков срыва поставок ключевым агроклиентам,,strong,slow,ClassicML; LLM,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=10&limit=20
cmryiwkic004binjjcvhlv7lv,AI‑система управления дебиторской задолженностью с интеллектуальной автоматизацией взыскания,,strong,medium,ClassicML; AIAgents; RPA,0,0,0,,agriculture,,,https://ai-russia.ru/api/scenarios?industry=agriculture&page=3&limit=20
